Carga Horária,Categoria da Situação,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino,dia_inicio_ciclo,mes_inicio_ciclo,ano_inicio_ciclo,dia_fim_ciclo,mes_fim_ciclo,ano_fim_ciclo,dia_ocorrencia,mes_ocorrencia,ano_ocorrencia,delta_days
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,"2,5<RFP<=3,5",Masculino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
4560,0,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Tijuca II,7,4,2017,21,12,2019,1,12,2019,968
