Carga Horária,Categoria da Situação,Código da Matrícula,Cor/Raça,Data de Início do Ciclo,Data de Fim Previsto do Ciclo,Faixa Etária,Fator Esforço Curso,Idade,Instituição,Mês de Ocorrência da Situação,Região,Renda Familiar,Sexo,Turno,UF,Unidade de Ensino
4560,Concluintes,72082427,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"1,5<RFP<=2,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082311,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082437,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72898296,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082281,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081755,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72867422,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082029,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,"2,5<RFP<=3,5",Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082709,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082449,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"2,5<RFP<=3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081769,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082003,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082615,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082769,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082443,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,"1,0<RFP<=1,5",Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082291,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081727,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082475,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082011,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72867502,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082453,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II
4560,Evadidos,72081759,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,19.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082025,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082001,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082261,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081723,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Evadidos,72081719,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081731,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Evadidos,72081207,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"1,0<RFP<=1,5",Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081725,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,17.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082467,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082273,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,Não declarada,Feminino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72081751,não declarada,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus Tijuca II
4560,Concluintes,72082267,branca,2017-04-07,2019-12-21,15 a 19 anos,1.0,18.0,CPII,2019-12-01,Região Sudeste,"RFP>3,5",Masculino,Matutino,RJ,Campus Tijuca II
